hazle	hazles,hazel
wiggy	wig out,uninhibited,wiggier,wiggiest,-y,crazy
sagat	kawil,fishhook,bingwit
beija	ela,você,beijar,tu,ele
brushoff	brushoffs,brush-off
quintic	-ic,quintus
reconstructionism	-ism,reconstruction
out-and-out	mongrel,durch und durch,spaccato,cross-breed,poultry,through and through,utter,amach is amach,complete,out,downright,altogether,and
isotropy	-tropy,iso-
veining	marking,vein,veinings,arrangement
seir	seirs,soir
anti-satellite	anti-,satellite
outlands	out-,lands
monodromy	globalization,morphism,monodromies,category theory,mathematics,local
cecropia	cecropias,moth,silkworm
confessio	defense,confessiones,law,guilt,confession,faith
aesthetician	esthetician,æsthetician
baize	bai,baies
hematologic	hæmatologic,haematologic
coelom	coeloma,cœlom,cœloma,celom,cœlome,coelome
hardcopy	hard copy,hardcopies
abjuration	ius,ab,abjuracioun,abjuration,abiuratio,iuro
sawed-off	sawed,saw,off
wetten	-en,wet
mortarboard	board,mortar
hemicellulose	cellulose,hemi-
halmos	magazine,mathematician,mathematics
drophead	head,drop
senado	senatus,senate,senex,senat
concilium	con-,-ium,calo
macaroon	rocher coco,macaron,makaron,bitterkoekje,macarrón,biscuit,macaroons,coconut,蛋白杏仁餅,蛋白杏仁饼,leivos,amareta,congolais,cookie,amaretto,αμυγδαλωτό,миндальное печенье,almond,kokoskoekje,makron,macarone
peonage	peon,-age
riego	rego,riguum,regar
exonuclease	enzyme,biochemistry,nucleotide,polynucleotide,genetics,exonucleases,exonucleasic,cleave
fleur-de-lys	fleurs-de-lys,fleur-de-lis
head-first	headfirst,head first
piqué	piquer,piqué
berzerk	berzerks,berserk
pattée	cross pattée,patté
flaminius	-ius,flamen
maciste	colossus,macisti
pharmacogenetics	pharmaco-,genetics
kamienica	-ica,kamień
pob	everybody,everyone
bruel	bruels,bruex,brueus,woods
aminopeptidase	aminopeptidase,hydrolysis,enzyme,peptide,amino acid,biochemistry,polypeptide,amino,aminopeptidases,protein
industriel	-iel,industrie
keihin	seihin,leihin,heihin,teihin,meihin
breakcore	break,-core
